ir,rgb
infrared/l1.jpg,visible/l1.jpg
infrared/l10.jpg,visible/l10.jpg
infrared/l100.jpg,visible/l100.jpg
infrared/l101.jpg,visible/l101.jpg
infrared/l102.jpg,visible/l102.jpg
infrared/l103.jpg,visible/l103.jpg
infrared/l104.jpg,visible/l104.jpg
infrared/l105.jpg,visible/l105.jpg
infrared/l106.jpg,visible/l106.jpg
infrared/l107.jpg,visible/l107.jpg
infrared/l108.jpg,visible/l108.jpg
infrared/l109.jpg,visible/l109.jpg
infrared/l11.jpg,visible/l11.jpg
infrared/l110.jpg,visible/l110.jpg
infrared/l111.jpg,visible/l111.jpg
infrared/l112.jpg,visible/l112.jpg
infrared/l113.jpg,visible/l113.jpg
infrared/l114.jpg,visible/l114.jpg
infrared/l115.jpg,visible/l115.jpg
infrared/l116.jpg,visible/l116.jpg
infrared/l117.jpg,visible/l117.jpg
infrared/l118.jpg,visible/l118.jpg
infrared/l119.jpg,visible/l119.jpg
infrared/l12.jpg,visible/l12.jpg
infrared/l120.jpg,visible/l120.jpg
infrared/l121.jpg,visible/l121.jpg
infrared/l122.jpg,visible/l122.jpg
infrared/l123.jpg,visible/l123.jpg
infrared/l124.jpg,visible/l124.jpg
infrared/l125.jpg,visible/l125.jpg
infrared/l126.jpg,visible/l126.jpg
infrared/l127.jpg,visible/l127.jpg
infrared/l128.jpg,visible/l128.jpg
infrared/l129.jpg,visible/l129.jpg
infrared/l13.jpg,visible/l13.jpg
infrared/l130.jpg,visible/l130.jpg
infrared/l131.jpg,visible/l131.jpg
infrared/l132.jpg,visible/l132.jpg
infrared/l133.jpg,visible/l133.jpg
infrared/l134.jpg,visible/l134.jpg
infrared/l135.jpg,visible/l135.jpg
infrared/l136.jpg,visible/l136.jpg
infrared/l137.jpg,visible/l137.jpg
infrared/l138.jpg,visible/l138.jpg
infrared/l139.jpg,visible/l139.jpg
infrared/l14.jpg,visible/l14.jpg
infrared/l140.jpg,visible/l140.jpg
infrared/l141.jpg,visible/l141.jpg
infrared/l142.jpg,visible/l142.jpg
infrared/l143.jpg,visible/l143.jpg
infrared/l144.jpg,visible/l144.jpg
infrared/l145.jpg,visible/l145.jpg
infrared/l146.jpg,visible/l146.jpg
infrared/l147.jpg,visible/l147.jpg
infrared/l148.jpg,visible/l148.jpg
infrared/l149.jpg,visible/l149.jpg
infrared/l15.jpg,visible/l15.jpg
infrared/l150.jpg,visible/l150.jpg
infrared/l151.jpg,visible/l151.jpg
infrared/l152.jpg,visible/l152.jpg
infrared/l153.jpg,visible/l153.jpg
infrared/l154.jpg,visible/l154.jpg
infrared/l155.jpg,visible/l155.jpg
infrared/l156.jpg,visible/l156.jpg
infrared/l157.jpg,visible/l157.jpg
infrared/l158.jpg,visible/l158.jpg
infrared/l159.jpg,visible/l159.jpg
infrared/l16.jpg,visible/l16.jpg
infrared/l160.jpg,visible/l160.jpg
infrared/l161.jpg,visible/l161.jpg
infrared/l162.jpg,visible/l162.jpg
infrared/l163.jpg,visible/l163.jpg
infrared/l164.jpg,visible/l164.jpg
infrared/l165.jpg,visible/l165.jpg
infrared/l166.jpg,visible/l166.jpg
infrared/l167.jpg,visible/l167.jpg
infrared/l168.jpg,visible/l168.jpg
infrared/l169.jpg,visible/l169.jpg
infrared/l17.jpg,visible/l17.jpg
infrared/l170.jpg,visible/l170.jpg
infrared/l171.jpg,visible/l171.jpg
