ir,rgb
infrared/t197.jpg,visible/t197.jpg
infrared/t198.jpg,visible/t198.jpg
infrared/t199.jpg,visible/t199.jpg
infrared/t200.jpg,visible/t200.jpg
infrared/t201.jpg,visible/t201.jpg
infrared/t202.jpg,visible/t202.jpg
infrared/t203.jpg,visible/t203.jpg
infrared/t204.jpg,visible/t204.jpg
infrared/t205.jpg,visible/t205.jpg
infrared/t206.jpg,visible/t206.jpg
infrared/t207.jpg,visible/t207.jpg
infrared/t208.jpg,visible/t208.jpg
infrared/t209.jpg,visible/t209.jpg
infrared/t210.jpg,visible/t210.jpg
infrared/t211.jpg,visible/t211.jpg
infrared/t212.jpg,visible/t212.jpg
infrared/t213.jpg,visible/t213.jpg
infrared/t214.jpg,visible/t214.jpg
infrared/t215.jpg,visible/t215.jpg
infrared/t216.jpg,visible/t216.jpg
infrared/t217.jpg,visible/t217.jpg
infrared/t218.jpg,visible/t218.jpg
infrared/t219.jpg,visible/t219.jpg
infrared/t220.jpg,visible/t220.jpg
infrared/t221.jpg,visible/t221.jpg
infrared/t222.jpg,visible/t222.jpg
infrared/t223.jpg,visible/t223.jpg
infrared/t224.jpg,visible/t224.jpg
infrared/t225.jpg,visible/t225.jpg
infrared/t226.jpg,visible/t226.jpg
infrared/t227.jpg,visible/t227.jpg
infrared/t228.jpg,visible/t228.jpg
infrared/t229.jpg,visible/t229.jpg
infrared/t230.jpg,visible/t230.jpg
infrared/t231.jpg,visible/t231.jpg
infrared/t232.jpg,visible/t232.jpg
infrared/t233.jpg,visible/t233.jpg
infrared/t234.jpg,visible/t234.jpg
infrared/t235.jpg,visible/t235.jpg
infrared/t236.jpg,visible/t236.jpg
infrared/t237.jpg,visible/t237.jpg
infrared/t238.jpg,visible/t238.jpg
infrared/t239.jpg,visible/t239.jpg
infrared/t240.jpg,visible/t240.jpg
infrared/t241.jpg,visible/t241.jpg
infrared/t242.jpg,visible/t242.jpg
infrared/t243.jpg,visible/t243.jpg
infrared/t244.jpg,visible/t244.jpg
infrared/t245.jpg,visible/t245.jpg
infrared/t246.jpg,visible/t246.jpg
infrared/t247.jpg,visible/t247.jpg
infrared/t248.jpg,visible/t248.jpg
infrared/t249.jpg,visible/t249.jpg
infrared/t250.jpg,visible/t250.jpg
infrared/t251.jpg,visible/t251.jpg
infrared/t252.jpg,visible/t252.jpg
infrared/t253.jpg,visible/t253.jpg
infrared/t254.jpg,visible/t254.jpg
infrared/t255.jpg,visible/t255.jpg
infrared/t256.jpg,visible/t256.jpg
infrared/t257.jpg,visible/t257.jpg
infrared/t258.jpg,visible/t258.jpg
infrared/t259.jpg,visible/t259.jpg
infrared/t260.jpg,visible/t260.jpg
infrared/t261.jpg,visible/t261.jpg
infrared/t262.jpg,visible/t262.jpg
infrared/t263.jpg,visible/t263.jpg
infrared/t264.jpg,visible/t264.jpg
infrared/t265.jpg,visible/t265.jpg
infrared/t266.jpg,visible/t266.jpg
infrared/t267.jpg,visible/t267.jpg
infrared/t268.jpg,visible/t268.jpg
infrared/t269.jpg,visible/t269.jpg
infrared/t270.jpg,visible/t270.jpg
infrared/t271.jpg,visible/t271.jpg
infrared/t272.jpg,visible/t272.jpg
infrared/t273.jpg,visible/t273.jpg
infrared/t274.jpg,visible/t274.jpg
infrared/t275.jpg,visible/t275.jpg
infrared/t276.jpg,visible/t276.jpg
infrared/t294.jpg,visible/t294.jpg
infrared/t295.jpg,visible/t295.jpg
infrared/t296.jpg,visible/t296.jpg
infrared/t297.jpg,visible/t297.jpg
infrared/t298.jpg,visible/t298.jpg
infrared/t299.jpg,visible/t299.jpg
infrared/t300.jpg,visible/t300.jpg
