ir,rgb
infrared/y37.jpg,visible/y37.jpg
infrared/y38.jpg,visible/y38.jpg
infrared/y39.jpg,visible/y39.jpg
infrared/y40.jpg,visible/y40.jpg
infrared/y41.jpg,visible/y41.jpg
infrared/y42.jpg,visible/y42.jpg
infrared/y43.jpg,visible/y43.jpg
infrared/y44.jpg,visible/y44.jpg
infrared/y45.jpg,visible/y45.jpg
infrared/y46.jpg,visible/y46.jpg
infrared/y47.jpg,visible/y47.jpg
infrared/y48.jpg,visible/y48.jpg
infrared/y49.jpg,visible/y49.jpg
infrared/y50.jpg,visible/y50.jpg
infrared/y51.jpg,visible/y51.jpg
infrared/y52.jpg,visible/y52.jpg
infrared/y53.jpg,visible/y53.jpg
infrared/y54.jpg,visible/y54.jpg
infrared/y55.jpg,visible/y55.jpg
infrared/y56.jpg,visible/y56.jpg
infrared/y57.jpg,visible/y57.jpg
infrared/y58.jpg,visible/y58.jpg
infrared/y59.jpg,visible/y59.jpg
infrared/y60.jpg,visible/y60.jpg
infrared/y61.jpg,visible/y61.jpg
infrared/y62.jpg,visible/y62.jpg
infrared/y63.jpg,visible/y63.jpg
infrared/y64.jpg,visible/y64.jpg
infrared/y65.jpg,visible/y65.jpg
infrared/y66.jpg,visible/y66.jpg
infrared/y67.jpg,visible/y67.jpg
infrared/y68.jpg,visible/y68.jpg
infrared/y69.jpg,visible/y69.jpg
infrared/y70.jpg,visible/y70.jpg
infrared/y71.jpg,visible/y71.jpg
infrared/y72.jpg,visible/y72.jpg
